ETAP Casar de CÃ¡ceres,
,
,
,
,
,
,
,
, Volumen de agua propia suministrada obtenida de potabilizadora (m3)
,
Fri 01/01/2021,"1,150.000"
Sat 02/01/2021,761.000
Sun 03/01/2021,840.000
Mon 04/01/2021,744.000
Tue 05/01/2021,"1,045.000"
Wed 06/01/2021,806.000
Thu 07/01/2021,989.000
Fri 08/01/2021,"1,225.000"
Sat 09/01/2021,936.000
Sun 10/01/2021,805.000
Mon 11/01/2021,"1,007.000"
Tue 12/01/2021,985.000
Wed 13/01/2021,"1,365.000"
Thu 14/01/2021,841.000
Fri 15/01/2021,"1,181.000"
Sat 16/01/2021,"1,410.000"
Sun 17/01/2021,911.000
Mon 18/01/2021,360.000
Tue 19/01/2021,534.000
Wed 20/01/2021,"1,424.000"
Thu 21/01/2021,835.000
Fri 22/01/2021,944.000
Sat 23/01/2021,"1,282.000"
Sun 24/01/2021,722.000
Mon 25/01/2021,843.000
Tue 26/01/2021,"1,086.000"
Wed 27/01/2021,884.000
Thu 28/01/2021,741.000
Fri 29/01/2021,776.000
Sat 30/01/2021,998.000
Sun 31/01/2021,"1,220.000"
Mon 01/02/2021,815.000
Tue 02/02/2021,720.000
Wed 03/02/2021,"1,019.000"
Thu 04/02/2021,"1,051.000"
Fri 05/02/2021,"1,046.000"
Sat 06/02/2021,641.000
Sun 07/02/2021,677.000
Mon 08/02/2021,687.000
Tue 09/02/2021,774.000
Wed 10/02/2021,"1,117.000"
Thu 11/02/2021,906.000
Fri 12/02/2021,"1,132.000"
Sat 13/02/2021,"1,101.000"
Sun 14/02/2021,876.000
Mon 15/02/2021,888.000
Tue 16/02/2021,933.000
Wed 17/02/2021,"1,169.000"
Thu 18/02/2021,"1,020.000"
Fri 19/02/2021,901.000
Sat 20/02/2021,835.000
Sun 21/02/2021,655.000
Mon 22/02/2021,869.000
Tue 23/02/2021,892.000
Wed 24/02/2021,895.000
Thu 25/02/2021,885.000
Fri 26/02/2021,726.000
Sat 27/02/2021,988.000
Sun 28/02/2021,914.000
